Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Queens Crescent, Kentish Town","£320,000",Flat,1.0,1.0,Ask agent
"Somerville Road, LONDON","£320,000",Flat,2.0,1.0,Ask agent
"Thames Circle, London, E14","£320,000",Apartment,1.0,1.0,Ask agent
"Church Hill, London","£320,000",Apartment,1.0,1.0,Ask agent
"Apple Tree Road, London, N17","£320,000",Apartment,1.0,1.0,Ask agent
"Lansdowne Way, Stockwell, London, SW8","£320,000",Flat,1.0,1.0,395 sq ft
"Lansdowne Way, London, SW8","£320,000",Flat,1.0,1.0,Ask agent
"Longford House, Jubilee Street, London, E1","£320,000",Flat,1.0,1.0,Ask agent
"Solon New Road Estate, London","£320,000",Flat,1.0,1.0,Ask agent
Bywell Place London E16,"£320,000",Apartment,1.0,1.0,Ask agent
"Devonshire Road, London, Greater London, W4 2AP","£320,000",Flat,2.0,1.0,Ask agent
"Meridia Court, Biggerstaff Road, Stratford, E15 2LG","£320,000",Flat,1.0,1.0,Ask agent
"Chesterfield Lodge, Church Hill, Winchmore Hill","£320,000",Flat,1.0,1.0,721 sq ft
"George Lane, Hither Green, London, SE13","£320,000",Flat,1.0,1.0,596 sq ft
"Reaston Street, London, SE14","£320,000",Flat,1.0,,Ask agent
"Hannibal Road, London, E1","£320,000",Apartment,1.0,1.0,390-391 sq ft
"Birkbeck Road, London, EN2","£320,000",Flat,1.0,,Ask agent
"George Lane, Lewisham, SE13 6","£320,000",Flat,1.0,1.0,Ask agent
"Mannock Close, Colindale, London, NW9","£320,000",Flat,1.0,1.0,502 sq ft
"Cooper Road, Dollis Hill, London, NW10","£320,000",Flat,1.0,2.0,532 sq ft
"Constance Street Royal Docks, London","£320,000",Maisonette,3.0,1.0,Ask agent
"Ringwood Gardens, London, E14","£320,000",Apartment,1.0,1.0,451 sq ft
"Adriatic Apartments, Royal Docks, London, E16","£320,000",Flat,1.0,1.0,444 sq ft
"Keyes Road, Cricklewood, London, Greater London, NW2 3XB","£320,000",Flat,2.0,1.0,Ask agent
"Hanbury Drive, London","£320,000",Apartment,2.0,1.0,Ask agent
"Streatham High Road, Streatham Hill, London, SW16","£320,000",Studio,,1.0,350 sq ft
Herne Hill London,"£320,000",Apartment,1.0,1.0,Ask agent
"Grasmere Road, London","£320,000",Flat,2.0,1.0,Ask agent
"Gifford House, Churchill Gardens, London, SW1V","£320,000",Apartment,,1.0,372 sq ft
"Shearwater Drive, Hendon, London, NW9","£320,000",Flat,1.0,1.0,504 sq ft
"Altair Close., London","£320,000",Flat,2.0,1.0,Ask agent
"Grayston House, Ottly Drive, Kidbrook, SE3","£320,000",Apartment,1.0,1.0,593 sq ft
"The Silkworks, Osier Way, London, E10","£320,000",Apartment,1.0,,430 sq ft
"Kings Court, Queens Road, London, E13","£320,000",Apartment,2.0,,Ask agent
"Rolls Park Avenue, London, E4","£320,000",Maisonette,2.0,,Ask agent
"Woburn Place, Bloomsbury","£320,000",Studio,,1.0,Ask agent
"Michigan Building, Canary Wharf, London, E14","£320,000",Flat,1.0,1.0,534 sq ft
"Bexley Road, Eltham SE9","£320,000",Ground Maisonette,2.0,1.0,649 sq ft
"Swift Court, Tavy Bridge, SE2","£320,000",Apartment,1.0,1.0,559 sq ft
"Boone Street, London, SE13","£320,000",Flat,4.0,2.0,Ask agent
"Goldsmith Road, Peckham, London, SE15 5UB","£320,000",,3.0,1.0,Ask agent
"Varcoe Road, London, SE16","£320,000",Flat,1.0,1.0,548 sq ft
Seven Sea Gardens London E3,"£320,000",Apartment,1.0,1.0,Ask agent
"Church Hill, London, N21","£320,000",Apartment,1.0,1.0,Ask agent
"Sternhold Avenue, London, SW2","£320,000",Apartment,1.0,1.0,432 sq ft
"Blackheath Hill, London, SE10 8PB","£320,000",Flat,3.0,1.0,Ask agent
"Monteagle Way, London","£320,000",Apartment,1.0,1.0,495 sq ft
"Fyfield Court, Disraeli Road, Forest Gate, London, E7","£320,000",Flat,2.0,1.0,635-646 sq ft
"Corry House, Wades Place, London, E1","£320,000",Flat,2.0,1.0,Ask agent
"Villa Street, Elephant and Castle, London, SE17","£320,000",Maisonette,3.0,1.0,919 sq ft
"St. Georges Road, London","£320,000",Flat,1.0,1.0,472 sq ft
"Thicket Grove, London","£320,000",Flat,2.0,1.0,Ask agent
"Pan Peninsula Square, Canary Wharf, London, E14","£320,000",Flat,,1.0,324 sq ft
"Romford Road,  London, E7","£320,000",Flat,2.0,1.0,Ask agent
"Gilling Court, Belsize Grove, London, NW3","£320,000",Apartment,,1.0,269 sq ft
"Ladyfern House, Gale Street, London E3","£320,000",Apartment,2.0,1.0,Ask agent
"Morecambe Close, Beaumont Square, Stepney, London, E1","£320,000",Flat,1.0,1.0,619 sq ft
"Woburn Place, Bloomsbury","£320,000",Studio,,,Ask agent
"Green Dragon Lane, Brentford, Middlesex","£320,000",Apartment,2.0,1.0,Ask agent
"Lockwood Square, Bermondsey, SE16","£320,000",Apartment,1.0,1.0,Ask agent
"65-67 Woodlands Road, Isleworth","£320,000",Apartment,1.0,1.0,624 sq ft
"Cara House, Capitol Way, NW9","£320,000",Apartment,1.0,1.0,Ask agent
"Rathbone Market, Canning Town, London, E16","£320,000",Flat,1.0,1.0,598 sq ft
"Brewster Gardens, London, W10","£320,000",Apartment,1.0,1.0,Ask agent
"Tudor Court, Walthamstow, E17","£320,000",Flat,2.0,1.0,Ask agent
"Ontario Tower, 1 Fairmont Avenue, Blackwall, Canary Wharf, London, E14 9JD","£320,000",Studio,,1.0,Ask agent
"Malting Way, Isleworth","£320,000",Apartment,2.0,1.0,619 sq ft
"Henley Close, St. Marychurch Street, London","£320,000",Apartment,1.0,1.0,Ask agent
"Brook Square, Woolwich, SE18","£320,000",Apartment,2.0,2.0,850 sq ft
"Kirkland Drive, Enfield","£320,000",Flat,2.0,1.0,Ask agent
"Wades Place, London","£320,000",Flat,2.0,1.0,514 sq ft
"Hampton Road, Teddington","£320,000",Apartment,1.0,1.0,495 sq ft
"Gaitskell House, Villa Street, London, SE17","£320,000",Flat,3.0,1.0,Ask agent
"Maltings Close, Tower Hamlets, London, E3","£320,000",Flat,1.0,1.0,547 sq ft
"Teak Close, London, SE16","£320,000",Maisonette,1.0,1.0,566 sq ft
"Peckham Rye SE15, Peckham Rye, London, SE15","£320,000",Flat,2.0,1.0,568 sq ft
"Lansdowne Road, London, N17","£320,000",Flat,2.0,1.0,728 sq ft
Pan Peninsula Square London E14,"£320,000",Flat,,1.0,Ask agent
"Brewery Road, Plumstead London SE18","£320,000",Terraced,2.0,1.0,Ask agent
"Cobblestone Square, Wapping, London, E1W","£320,000",Flat,,1.0,349 sq ft
"Argyll Road, London, SE18","£320,000",Apartment,1.0,1.0,522 sq ft
"Woburn, Clivedon Court, London, W13","£320,000",Flat,1.0,1.0,Ask agent
"Galton Court, 2 Joslin Avenue, NW9","£320,000",Flat,1.0,1.0,519 sq ft
"Westgate House, Ealing Road, Brentford, TW8","£320,000",Apartment,1.0,1.0,619 sq ft
"The Concourse, Edmonton, London, N9 - Stunning Development","£320,000",Apartment,2.0,2.0,740 sq ft
"Birkbeck Road, Enfield","£320,000",Maisonette,1.0,1.0,Ask agent
"Besson Street, London, SE14","£320,000",Flat,1.0,1.0,Ask agent
"Winchmore Hill Road, London, N21","£320,000",Flat,2.0,2.0,Ask agent
"Woodvale Way, London, NW11","£320,000",Flat,1.0,1.0,Ask agent
"Keyes Road, London, NW2","£320,000",Apartment,2.0,1.0,Ask agent
"Stafford Road, London","£320,000",,2.0,1.0,Ask agent
"Dora Street, London, E14 7","£320,000",Flat,2.0,1.0,681 sq ft
"Wilmot Place, Camden","£320,000",Apartment,,1.0,Ask agent
"Prowse Court, London","£319,995",Flat,2.0,2.0,Ask agent
"Ashville Road, London, E11","£319,995",Flat,1.0,,Ask agent
"Cohen House, Hammers Lane, London","£319,995",Flat,1.0,1.0,Ask agent
"Gatekeepers House, Queen Mary Avenue, South Woodford, E18","£319,950",Apartment,1.0,1.0,Ask agent
"Chelmsford Road, Southgate, N14","£319,950",Flat,1.0,1.0,Ask agent
"Woodberry View, Archway Road, Highgate, N6","£319,000",Flat,1.0,1.0,Ask agent
"Glaisher Street, London, SE8","£318,000",Apartment,1.0,1.0,Ask agent
"Biggerstaff Road, Stratford","£318,000",Apartment,1.0,1.0,Ask agent
"West Gate, London, W5","£318,000",Apartment,1.0,,343 sq ft
"Lee High Road, London, SE12","£317,500",Flat,1.0,1.0,588 sq ft
"Connaught Heights, Silvertown E16","£317,500",Apartment,1.0,1.0,469 sq ft
"Blackheath Road, Greenwich, SE10","£317,000",Apartment,1.0,1.0,Ask agent
"Perryfield Way, 
Hendon,
London, 
NW9 7DL","£89,375",Flat,1.0,,548 sq ft
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£100,000",Apartment,1.0,1.0,555 sq ft
"Secure Garage Space, The Mayfair Car Park, Park Lane, W1","£100,000",Parking,,,Ask agent
"Secure Garage Space, The Mayfair Car Park, Park Lane, W1","£100,000",Parking,,,Ask agent
"Flat A, 161 Hither Green Lane, Lewisham, London, SE13 6QF","£100,000",Flat,1.0,,Ask agent
"50 Bolsover Street, London, W1W","£100,000",Parking,,,Ask agent
"Gibson Road, London, SE11","£100,000",Apartment,1.0,1.0,Ask agent
"Chelsea Harbour, Chelsea, SW10","£100,000",House Boat,2.0,2.0,669 sq ft
"Greenland Quay, Rotherhithe, SE16","£100,000",Garages,,,50 sq ft
"Hollyworth, 420A London Road, Isleworth, Greater London, TW7","£100,000",Terraced,,1.0,Ask agent
"Secure Garage Space, The Mayfair Car Park, Park Lane, W1","£100,000",Parking,,,Ask agent
"Secure Garage Space, The Mayfair Car Park, Park Lane, W1","£100,000",Parking,,,Ask agent
"Film Square, Marlowe Road, London E17","£100,000",Apartment,1.0,,538 sq ft
"The Ridgeway,  
Mill Hill, 
London, 
NW7 1AA","£100,000",Flat,1.0,,Ask developer
"Homebush House, North Chingford","£100,000",Retirement Property,1.0,1.0,462 sq ft
"Etloe House, Leyton","£100,000",Flat,1.0,1.0,474 sq ft
"58 West Barnes Lane, New Malden, KT3 4PS","£100,000",Land,,,Ask agent
"80 Wimbledon Park Side, Wimbledon, London, SW19","£100,000",,,,Ask agent
"Buckingham Palace Road, London, SW1W","£100,000",Parking,,,Ask agent
"SO Resi Whetstone,
Oakleigh Road, Whetstone, 
N20 9FE","£100,000",Ground Flat,1.0,,549 sq ft
"The Restorey, Central Way, London, Nw10","£100,000",Apartment,2.0,1.0,Ask agent
"Sunny Bank, London","£100,000",Flat,1.0,1.0,513 sq ft
"1 Kings Gate Walk, London, SW1E","£100,000",Parking,,,Ask agent
"Brunswick House, 62 Neasden Lane, London, NW10","£98,750",Flat,1.0,2.0,Ask agent
"300 Manor Rd,
London,
E16 4PA","£98,750",Flat,1.0,1.0,553 sq ft
"Garage Space, St Mary Abbots Court, Kensington, W14","£85,000",Parking,,,Ask agent
"Caversham Road, London","£98,750",Flat,1.0,,536 sq ft
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£98,125",Apartment,1.0,1.0,555 sq ft
"Kings Head Hill, London","£98,000",Apartment,1.0,1.0,Ask agent
"Mapleton Road, Wandsworth Town, London, SW18","£98,000",Flat,1.0,1.0,446 sq ft
"The Ridgeway,  
Mill Hill, 
London, 
NW7 1AA","£97,500",Flat,1.0,,Ask developer
"7 Pomfret Place, London, E14","£97,500",Apartment,1.0,1.0,Ask agent
"Cavendish Road, London, Greater London, SW19","£97,500",Flat,1.0,,Ask agent
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£97,500",Apartment,1.0,1.0,555 sq ft
"Thomas Fyre Drive, LONDON","£97,500",Apartment,2.0,1.0,Ask agent
"Royal Crest Avenue, Newham,
London, 
E16 2AX","£96,875",Flat,1.0,,Ask developer
"Flat 33 Redwing Court, 25 Catkin Road, London, NW9","£96,250",Flat,1.0,1.0,Ask agent
"Repton House, 2 Jacks Farm Way, London, Greater London, E4","£96,250",Flat,1.0,1.0,Ask agent
"FLAT 3, 82 Elder Road, SE27 9BB","£96,000",Flat,1.0,1.0,Ask agent
"FOYLE COURT,
2 CLAYTON FIELD,
London,
NW9 5WY","£95,625",Apartment,1.0,1.0,552 sq ft
"Aire Street, Middlesbrough, North Yorkshire, TS1","£95,000",Terraced,3.0,,Ask agent
"Sailmakers Court, Sands End, London, SW6","£95,000",Garages,,,111 sq ft
"FRIERN PARK, NORTH FINCHLEY, N12","£95,000",Retirement Property,1.0,1.0,Ask agent
"Marlowe Road, Walthamstow","£95,000",Apartment,1.0,1.0,549 sq ft
"Swan Island, Twickenham, TW1","£95,000",House Boat,1.0,1.0,281 sq ft
"Judd Apartments, Crouch End, London, N8","£94,500",Flat,1.0,,Ask agent
"6 Pegler Square
Kidbrooke Village
Greenwich, London
SE3 9GR","£94,375",Flat,1.0,,Ask developer
"Abbey Place, Felixstow Road, Abbey Wood, London, SE2","£93,750",Flat,2.0,1.0,Ask agent
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£93,750",Apartment,1.0,1.0,562 sq ft
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£93,125",Apartment,1.0,1.0,543 sq ft
"118 Oliver Road,
London,
E10 5UJ","£81,250",Apartment,1.0,,Ask developer
"Church Road, Leyton","£92,500",Maisonette,2.0,1.0,Ask agent
"Pomarine Apartments, 2 Damsel Walk, London","£92,500",Apartment,1.0,1.0,Ask agent
"6 Pegler Square
Kidbrooke Village
Greenwich, London
SE3 9GR","£92,500",Flat,1.0,,Ask developer
"Engine House, 1 Radial Avenue, London","£92,500",Flat,1.0,1.0,549 sq ft
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£91,250",Apartment,1.0,1.0,546 sq ft
"Pilch House, Violet Road, London, E3","£91,250",Apartment,1.0,1.0,Ask agent
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£90,625",Apartment,1.0,1.0,543 sq ft
"Garage 8, Allen Mansions, Kensington W8","£90,000",Parking,,,198 sq ft
"Reed House, Merton, Greater London, SW19","£90,000",Flat,1.0,,Ask agent
"The Gateways, Park Lane, Richmond, TW9","£90,000",,,,Ask agent
"Morris Gardens, Southfields, London, SW18","£90,000",Garages,,,334 sq ft
"Henley Cross,
Kidbrooke,
London,
SE3 9JU","£90,000",Apartment,1.0,1.0,547 sq ft
"FOYLE COURT,
2 CLAYTON FIELD,
London,
NW9 5WY","£90,000",Apartment,1.0,1.0,539 sq ft
"Cadogan Road, London, SE18 6YL","£90,000",Flat,1.0,1.0,Ask agent
"Cutler House, 6 Mary Neuner Road, London","£90,000",Studio,,1.0,Ask agent
"FOYLE COURT,
2 CLAYTON FIELD,
London,
NW9 5WY","£89,375",Apartment,1.0,1.0,539 sq ft
"Bell Green, London","£88,750",Flat,2.0,1.0,Ask agent
"North Woolwich Road, Royal Docks, E16 2EE","£88,750",Flat,1.0,1.0,Ask agent
"Meridian Water,
Enfield,
London,
N18 2DX","£88,750",Flat,1.0,1.0,538 sq ft
"Meridian Water,
Enfield,
London,
N18 2DX","£88,125",Flat,1.0,1.0,538 sq ft
"FOYLE COURT,
2 CLAYTON FIELD,
London,
NW9 5WY","£88,125",Apartment,1.0,1.0,544 sq ft
"Washbourne Court, 14 Acton Close, London","£88,000",Apartment,1.0,1.0,Ask agent
"Park Royal,
London,
NW10","£87,500",Flat,1.0,,Ask developer
"Meridian Water,
Enfield,
London,
N18 2DX","£87,500",Flat,1.0,1.0,538 sq ft
"Park Royal,
London,
NW10","£87,500",Flat,1.0,,Ask developer
"Cutler House, 6 Mary Neuner Road, London","£86,875",Studio,,1.0,Ask agent
"Park Royal,
London,
NW10","£86,250",Flat,1.0,,Ask developer
"Colts Village Apartments , 2 Castle Street, London, E6","£86,250",Flat,1.0,1.0,539 sq ft
"morris Road, london","£85,500",Apartment,1.0,1.0,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Pembroke Gardens Close, Kensington, London, W8","£85,000",Parking,,,Ask agent
"Acton Lane, London, NW10","£85,000",Flat,1.0,1.0,Ask agent
"Secure Garage Space, The Mayfair Car Park, Park Lane, W1","£85,000",Parking,,,Ask agent
"6 Selbourne Avenue, Hounslow","£83,500",Apartment,1.0,1.0,Ask agent
"Hatcham Park Mews, New Cross Gate, London, SE14 5QA","£81,000",,,,"14,461 sq ft"
"Westbourne Terrace, Lancaster Gate, London, W2","£80,000",Parking,,,180 sq ft
"79 Marsham Street, London, SW1P","£80,000",Parking,,,Ask agent
"Secure Garage Space, The Mayfair Car Park, Park Lane, W1","£80,000",Garages,,,Ask agent
"Parking Space, Durrels House, London, W14","£80,000",Parking,,,Ask agent
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Ottley Drive, London, SE3","£76,250",Flat,1.0,1.0,Ask agent
"The Limes, London, W2","£75,000",Parking,,,137 sq ft
"Ashburnham Mews, SW1P","£75,000",Parking,,,Ask agent
"Canonbie Road, London","£75,000",House,,,Ask agent
"Harvard Court, West Hampstead NW6","£74,950",Garages,,,Ask agent
"Neasden Lane, London, NW10","£73,750",Flat,1.0,1.0,Ask agent
"Montrose Court, 
Princes Gate, SW7","£70,000",,,,Ask agent
"Parking Space, Ebury Street, London, SW1W","£70,000",Parking,,,Ask agent
"Railway Street, King's Cross, N1","£70,000",Garages,,,Ask agent
"1A, 9 Cumberland Street, Pimlico, London, SW1V 4LS","£70,000",Apartment,1.0,,Ask agent
"Singapore Road, London, W13","£70,000",Flat,1.0,1.0,Ask agent
"Turnmill Street, Farringdon, London, EC1M","£67,500",Parking,,,50 sq ft
Queensville Road Balham SW12 0JJ,"£65,000",Detached,,,Ask agent
"Palace Gate, Kensington, W8","£65,000",Garages,,,Ask agent
"Thames Reach, West Thamesmead, London, SE28 0FQ","£65,000",Apartment,1.0,1.0,Ask agent
"Garage, Brassey Square, Shaftesbury Estate, London, SW11","£65,000",Garages,,,132 sq ft
"Millside Place, Isleworth, TW7","£65,000",Garages,,1.0,Ask agent
"Palace Gate, South Kensington, W8","£65,000",Garages,,,Ask agent
"Mayfair Car Park, Pak Lane, W1","£60,000",Parking,,,Ask agent
"Garages 2, 6, 7 and 8, Clifford Court, Tanfield Avenue, Neasden, London, NW2 7RY","£60,000",Garages,,,Ask agent
"White Post Lane, London, E9","£55,000",Lodge,1.0,1.0,243 sq ft
"Viaduct Gardens, London, SW11","£50,000",Parking,,,Ask agent
"Kingsway Place, London, EC1R","£50,000",,,,Ask agent
"Freehold, Replingham Road, London, SW18","£50,000",,,,"1,951 sq ft"
"Bartholemew Close, Farringdon, London, EC1A","£50,000",Parking,,,50 sq ft
"Gala Chief, Harbour Avenue, SW10","£50,000",House Boat,2.0,1.0,Ask agent
"Upper Richmond Road, London, SW15","£50,000",Garages,,,159 sq ft
"Kersfield Road, Putney, London, SW15","£50,000",Garages,,,131 sq ft
"Westbridge Road, Battersea, London, SW11","£47,500",Parking,,,50 sq ft
"33 and 33A Hanover Road, Tottenham, London, N15 4DL","£45,000",Block of Apartments,3.0,,Ask agent
"Nevern Square, Earls Court, London, SW5","£45,000",Parking,,,119 sq ft
"Old Willow Close, London","£44,888",Mobile Home,2.0,1.0,436 sq ft
"Amyand Park Road, Twickenham","£40,000",,,,124 sq ft
"St Leonards Court, East Sheen, SW14","£40,000",Garages,,,Ask agent
"New Wharf Road, London, N1","£40,000",,,,Ask agent
"Colour House, Bell Yard Mews, London, SE1","£40,000",Parking,,,Ask agent
"Bell Yard Mews, London, SE1","£40,000",Parking,,,Ask agent
"Strawberry Hill Close, Twickenham, TW1","£38,000",Garages,,1.0,Ask agent
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"Trewint Street, 
Wandsworth, 
London, 
SW18 4HD","£37,999",Park Home,2.0,,360 sq ft
"St. Georges Square, Limehouse, E14","£35,000",Parking,,,Ask agent
"Graham Street, Islington","£35,000",Parking,,,Ask agent
"Hoola, Tidal Basin Road, London","£35,000",Parking,1.0,1.0,Ask agent
"The Madison, Borough, London, SE1","£35,000",Parking,,,50 sq ft
"Keswick Road, London, SW15","£35,000",Garages,,,Ask agent
"Drayton Park, Highbury, London, N5","£32,500",Garages,,,50 sq ft
"Garage, Corfton Road, London W5","£30,000",Garages,,,Ask agent
"Avantgarde Tower, Shoreditch, London, E1","£30,000",Parking,,,50 sq ft
"Curlew Street, London, SE1","£30,000",Parking,,,Ask agent
"Parking, 15 Milligan Street, London, E14","£30,000",Parking,,,Ask agent
"Lant Street, London, SE1","£27,000",Parking,,,Ask agent
"Tyson Road, Forest Hill, London, SE23 3AA","£25,000",,,,"1,000 sq ft"
"Augustus Close, Brentford","£25,000",Parking,,,Ask agent
"St. Peter's Close, London, E2","£25,000",Parking,,,Ask agent
"Lawrence Wharf, London, SE16","£24,000",Parking,,,Ask agent
"Avenue Road, N6","£22,500",Garages,,,Ask agent
"Garage 20 at the rear of 78/104 Albert Road, London, SE25 4JW","£20,000",Garages,,,Ask agent
"Gibson Gardens, N16 7HF","£19,000",Parking,,,Ask agent
"Lawrence Wharf, London, SE16","£17,000",Parking,,,Ask agent
"Mount View Road, London, N4","£15,000",Link Detached House,4.0,,Ask agent
"Parking Space 87, Calderwood Street Car Park, Woolwich, London SE18 6JF",£100,Parking,,,Ask agent
"Elthorne Village, Trumpers Way, Ealing, W5",POA,,,,"82,764 sq ft"
"300 Manor Rd,
London,
E16 4PA","£134,375",Flat,2.0,2.0,866 sq ft
"Ryecroft Road, London, SE13","£150,000",Flat,1.0,1.0,431 sq ft
"Boardwalk Place, London, E14","£150,000",House Boat,1.0,1.0,150 sq ft
"Weston Court, London N20, N20","£150,000",Retirement Property,1.0,1.0,540 sq ft
"Friern Park, North Finchley, N12","£150,000",Retirement Property,1.0,1.0,588 sq ft
"Doyle Road, London","£150,000",Studio,,1.0,Ask agent
"Film Square, Marlowe Road, London E17","£150,000",Apartment,3.0,,944 sq ft
"Ashburton Triangle, Drayton Park, Islington, N5","£150,000",Flat,1.0,1.0,Ask agent
"FLAT 10 Shaw House, 30 Queen Street, Tottenham, London, N17 8HU, N17 8HU","£150,000",Flat,1.0,1.0,Ask agent
"Perseus Court, London, E14","£150,000",Flat,2.0,2.0,Ask agent
"Carr Street, London, London, E14 7SX","£150,000",Flat,1.0,1.0,Ask agent
"Cedar Road, Enfield","£150,000",Flat,1.0,1.0,Ask agent
"Kingswood Court, 175 Chingford Mount Road, Chingford","£150,000",Retirement Property,1.0,1.0,Ask agent
"Maxwell Road, Moore Park Estate, London, SW6","£150,000",Garages,,,280 sq ft
"Farnham Close, Whetstone, London, N20 9PQ","£150,000",Retirement Property,1.0,1.0,525 sq ft
"Waterview House, Carr Street, London","£150,000",Apartment,1.0,1.0,525 sq ft
"Weston Court, Whetstone, N20 9PQ","£150,000",Flat,1.0,1.0,Ask agent
"Kingswood Court, Chingford, E4 8LL","£150,000",Flat,1.0,1.0,Ask agent
"Fairbourne Road, Clapham, London, SW4","£150,000",Flat,2.0,,Ask agent
"Harper Road, London, E6","£150,000",Apartment,,1.0,Ask agent
"Edgware Road, Marylebone, London, W2","£150,000",Flat,1.0,1.0,571 sq ft
"2A Cavendish Road, Wimbledon, SW19 2FL","£150,000",Flat,2.0,1.0,Ask agent
"Kinetica Apartments, Hackney, London, E8","£150,000",Flat,1.0,,Ask agent
"Romford Road, Forest Gate, E7","£150,000",Flat,1.0,1.0,Ask agent
"Weston Court, Whetstone","£150,000",Flat,1.0,1.0,Ask agent
"Byng Street, London, E14","£132,500",Flat,2.0,1.0,60 sq ft
"Porchester Gardens, Bayswater","£150,000",Garages,,,Ask agent
"Winchmore Hill Road, London, N21","£150,000",Flat,1.0,1.0,Ask agent
"Cumberland Place, London, SE6","£150,000",Apartment,1.0,1.0,422 sq ft
"Flat 10, Cline House, Toland Square, London SW15 5PF","£150,000",Apartment,1.0,,Ask agent
"Southend House, Footscray Road, Eltham SE9","£150,000",Apartment,1.0,1.0,573 sq ft
"Forset Court, Edgware Road, London, W2","£150,000",Flat,1.0,1.0,Ask agent
"Goldsmith road, Leyton, E10","£150,000",Land,,,Ask agent
"Quayle Crescent, London","£150,000",Flat,1.0,1.0,Ask agent
"Lombard Road, London, SW11","£150,000",House Boat,1.0,1.0,648 sq ft
"Saxon Court, London, United Kingdom, N1C","£150,000",Flat,1.0,1.0,Ask agent
"Grilse Close, Edmonton, N9","£150,000",Studio,,1.0,Ask agent
"Woodgrange Road, London, E7","£150,000",Flat,2.0,2.0,Ask agent
"Bramhope Lane, Charlton, London, SE7","£150,000",Flat,1.0,1.0,443 sq ft
"Weston Court, Farnham Close, London, N20","£150,000",Flat,1.0,1.0,Ask agent
"Madeline Road, London","£150,000",Garages,,,Ask agent
"14 Gleneagle Mews, Streatham, SW16","£150,000",Plot,,,Ask agent
"Strafford Road, Twickenham, TW1","£150,000",Apartment,,1.0,Ask agent
"Plumstead Common Road, Plumstead","£150,000",Apartment,1.0,1.0,Ask agent
"High Street, London, ,, SE25 6EB","£150,000",Ground Flat,2.0,,Ask agent
"83 Hogarth Crescent, Colliers Wood, SW19 2DN","£150,000",Flat,1.0,,Ask agent
"46 Capitol Way, Colindale, NW9","£150,000",Flat,2.0,2.0,Ask agent
"Homewillow Close, London","£150,000",Retirement Property,1.0,1.0,Ask agent
"Dowding House, SW20","£150,000",Flat,2.0,1.0,800 sq ft
"Regency Court, Park Avenue, Enfield, EN1","£150,000",Retirement Property,1.0,1.0,508 sq ft
"Seagull Lane, London, E16","£101,250",Apartment,1.0,1.0,553 sq ft
"Boundary Road, Plaistow, London","£150,000",Plot,,,Ask agent
"Apartment 105, District Court, 26 Commercial Road, London","£150,000",Apartment,1.0,1.0,Ask agent
"Maida Avenue, London","£149,000",House Boat,1.0,1.0,Ask agent
"Blessington Road, Lewisham, London, SE13","£148,750",Apartment,2.0,1.0,Ask agent
"St Pauls Way, London","£148,750",Apartment,3.0,2.0,Ask agent
"Macaulay Road, London","£148,750",Apartment,2.0,1.0,Ask agent
"Chartfield Avenue, London","£148,750",Apartment,1.0,1.0,549 sq ft
"Chartfield Avenue, 
Putney Hill, SW15","£148,750",Flat,1.0,1.0,549 sq ft
"Hawser Lane, London, E14","£148,750",Apartment,2.0,2.0,Ask agent
"Frazer Nash Close, Isleworth","£148,500",Apartment,1.0,1.0,557 sq ft
"Thessaly Road, London","£147,500",Apartment,1.0,1.0,575 sq ft
